Examiner,Course coordinator,Teachers,Year,Part of programme,Duration,Pace of study,Form of study,Language of instruction,Course location,Number of places,Course code,Semester,Target group,Choose semester and course offering,P1,P2,P3,P4,Starting Term
{'Ahmad Reza Roozbeh': 'https://www.kth.se/profile/aroozbeh/'},{'Ahmad Reza Roozbeh': 'https://www.kth.se/profile/aroozbeh/'},{'Ahmad Reza Roozbeh': 'https://www.kth.se/profile/aroozbeh/'},2022/2023,"['Degree Programme in Constructional Engineering and Design, åk 2, Mandatory', 'Degree Programme in Engineering and Economics, åk 2, TIBY, Mandatory', 'Degree Programme in Engineering and Economics, åk 3, TIBY, Mandatory']","['31/10/2022', '17/03/2023']",17%,Normal Daytime,Swedish,KTH Campus,Places are not limited,AF1748,Autumn 2022,,,,2.5,2.5,,Autumn
{'Cecilia Hörngren': 'https://www.kth.se/profile/cechor/'},{'Eva Knutsson': 'https://www.kth.se/profile/evakn/'},"{'Cecilia Hörngren': 'https://www.kth.se/profile/cechor/', 'Eva Knutsson': 'https://www.kth.se/profile/evakn/', 'John Leander': 'https://www.kth.se/profile/johnlea/', 'Galyna Venzhego': 'https://www.kth.se/profile/venzhego/'}",2022/2023,"['Degree Programme in Constructional Engineering and Design, åk 2, Mandatory', 'Degree Programme in Engineering and Economics, åk 2, TIBY, Mandatory', 'Degree Programme in Engineering and Economics, åk 3, TIBY, Mandatory']","['31/10/2022', '17/03/2023']",33%,Normal Daytime,Swedish,KTH Campus,Places are not limited,AF1749,Autumn 2022,,,,5.0,5.0,,Autumn
{'Åsa Laurell Lyne': 'https://www.kth.se/profile/alll/'},,{'Fredrik Brunes': 'https://www.kth.se/profile/brunes/'},2022/2023,"['Degree Progr. in Construction Management, åk 2, Mandatory', 'Degree Programme in Constructional Engineering and Design, åk 3, PROD, Mandatory']","['31/10/2022', '16/01/2023']",50%,Normal Daytime,Swedish,KTH Campus,Places are not limited,AF1750,Autumn 2022,,,,7.5,,,Autumn
{'Zeev Bohbot': 'https://www.kth.se/profile/bohbot/'},{'Alicja Tykocka Ström': 'https://www.kth.se/profile/alicjats/'},"{'Zeev Bohbot': 'https://www.kth.se/profile/bohbot/', 'Eidar Lindgren': 'https://www.kth.se/profile/eidar/', 'Marianne Eriksson': 'https://www.kth.se/profile/mariane/'}",2022/2023,"Degree Programme in Constructional Engineering and Design, åk 3, ARFU, Mandatory","['31/10/2022', '16/01/2023']",50%,Normal Daytime,Swedish,KTH Campus,Places are not limited,AF1751,Autumn 2022,,,,7.5,,,Autumn
{'Cecilia Hörngren': 'https://www.kth.se/profile/cechor/'},{'Cecilia Hörngren': 'https://www.kth.se/profile/cechor/'},"{'Zeev Bohbot': 'https://www.kth.se/profile/bohbot/', 'Cecilia Hörngren': 'https://www.kth.se/profile/cechor/'}",2022/2023,"Degree Programme in Constructional Engineering and Design, åk 3, ARFU, Mandatory","['31/10/2022', '16/01/2023']",50%,Normal Daytime,Swedish,KTH Campus,Places are not limited,AF1752,Autumn 2022,,,,7.5,,,Autumn
{'Magnus Helgesson': 'https://www.kth.se/profile/helg/'},{'Magnus Helgesson': 'https://www.kth.se/profile/helg/'},"{'Fredrik Brunes': 'https://www.kth.se/profile/brunes/', 'Thomas Johansson': 'https://www.kth.se/profile/thojoh/', 'Ahmad Reza Roozbeh': 'https://www.kth.se/profile/aroozbeh/', 'Magnus Helgesson': 'https://www.kth.se/profile/helg/'}",2022/2023,"Degree Programme in Constructional Engineering and Design, åk 3, ARFU, Conditionally Elective","['17/01/2023', '17/03/2023']",50%,Normal Daytime,Swedish,KTH Campus,15 - 60,AF1753,Spring 2023,,,,,7.5,,Spring
{'Ahmad Reza Roozbeh': 'https://www.kth.se/profile/aroozbeh/'},{'Eva Knutsson': 'https://www.kth.se/profile/evakn/'},{'Eva Knutsson': 'https://www.kth.se/profile/evakn/'},2021/2022,"Degree Progr. in Construction Management, åk 1, Mandatory","['21/03/2022', '07/06/2022']",17%,Normal Daytime,Swedish,KTH Campus,Places are not limited,AF1754,Spring 2022,,,,,,2.5,Spring
{'Ahmad Reza Roozbeh': 'https://www.kth.se/profile/aroozbeh/'},{'Eva Knutsson': 'https://www.kth.se/profile/evakn/'},"{'Ahmad Reza Roozbeh': 'https://www.kth.se/profile/aroozbeh/', 'Eva Knutsson': 'https://www.kth.se/profile/evakn/'}",2022/2023,"Degree Progr. in Construction Management, åk 1, Mandatory","['20/03/2023', '05/06/2023']",17%,Normal Daytime,Swedish,KTH Campus,Places are not limited,AF1754,Spring 2023,,,,,,2.5,Spring
,{'Zeev Bohbot': 'https://www.kth.se/profile/bohbot/'},"{'Ahmad Reza Roozbeh': 'https://www.kth.se/profile/aroozbeh/', 'Zeev Bohbot': 'https://www.kth.se/profile/bohbot/'}",2022/2023,"Degree Programme in Constructional Engineering and Design, åk 3, ARFU, Conditionally Elective","['29/08/2022', '28/10/2022']",50%,Normal Daytime,Swedish,KTH Campus,15 - 60,AF1755,Autumn 2022,,,7.5,,,,Autumn
{'Åsa Laurell Lyne': 'https://www.kth.se/profile/alll/'},{'Åsa Laurell Lyne': 'https://www.kth.se/profile/alll/'},"{'Åsa Stina Carolina Skoglund': 'https://www.kth.se/profile/ascsk/', 'Thomas Johansson': 'https://www.kth.se/profile/thojoh/'}",2022/2023,"['Degree Programme in Constructional Engineering and Design, åk 2, Mandatory', 'Degree Programme in Engineering and Economics, åk 2, TIBY, Mandatory']","['29/08/2022', '28/10/2022']",33%,Normal Daytime,Swedish,KTH Campus,Places are not limited,AF1757,Autumn 2022,,,5.0,,,,Autumn
{'Annika Gram': 'https://www.kth.se/profile/agram/'},{'Thomas Johansson': 'https://www.kth.se/profile/thojoh/'},{'Thomas Johansson': 'https://www.kth.se/profile/thojoh/'},2022/2023,"['Degree Programme in Constructional Engineering and Design, åk 2, Mandatory', 'Degree Programme in Engineering and Economics, åk 2, TIBY, Mandatory']","['31/10/2022', '16/01/2023']",50%,Normal Daytime,Swedish,KTH Campus,Places are not limited,AF1758,Autumn 2022,,,,7.5,,,Autumn
{'Annika Gram': 'https://www.kth.se/profile/agram/'},{'Nour Khalil': 'https://www.kth.se/profile/nourk/'},{'Nour Khalil': 'https://www.kth.se/profile/nourk/'},2022/2023,"['Degree Programme in Constructional Engineering and Design, åk 1, Mandatory', 'Degree Programme in Engineering and Economics, åk 2, TIBY, Mandatory']","['20/03/2023', '05/06/2023']",25%,Normal Daytime,Swedish,KTH Campus,Places are not limited,AF1759,Spring 2023,,,,,,5.0,Spring
,,,,,,,,,,,AF1760,Autumn 2022,,Choose semester and course offering to see information from the correct course syllabus and course offering.,,,,,
{'Robert Algervik': 'https://www.kth.se/profile/algervik/'},{'Reza Forouzesh-Asl': 'https://www.kth.se/profile/rezafa/'},{'Reza Forouzesh-Asl': 'https://www.kth.se/profile/rezafa/'},2022/2023,"Degree Progr. in Construction Management, åk 1, Optional","['15/08/2022', '26/08/2022']",50%,Normal Daytime,Swedish,KTH Campus,Places are not limited,AF1761,Autumn 2022,,,,,,,Autumn
{'Robert Algervik': 'https://www.kth.se/profile/algervik/'},{'Reza Forouzesh-Asl': 'https://www.kth.se/profile/rezafa/'},{'Reza Forouzesh-Asl': 'https://www.kth.se/profile/rezafa/'},2022/2023,"Degree Progr. in Construction Management, åk 1, Mandatory","['29/08/2022', '28/10/2022']",50%,Normal Daytime,Swedish,KTH Campus,Places are not limited,AF1762,Autumn 2022,,,7.5,,,,Autumn
{'Robert Algervik': 'https://www.kth.se/profile/algervik/'},{'Robert Algervik': 'https://www.kth.se/profile/algervik/'},{'Robert Algervik': 'https://www.kth.se/profile/algervik/'},2022/2023,"['Degree Programme in Constructional Engineering and Design, åk 1, Mandatory', 'Degree Programme in Engineering and Economics, åk 1, TIBY, Mandatory']","['29/08/2022', '28/10/2022']",33%,Normal Daytime,Swedish,KTH Campus,Places are not limited,AF1763,Autumn 2022,,,5.0,,,,Autumn
{'Robert Algervik': 'https://www.kth.se/profile/algervik/'},{'Robert Algervik': 'https://www.kth.se/profile/algervik/'},{'Robert Algervik': 'https://www.kth.se/profile/algervik/'},2022/2023,"['Degree Programme in Constructional Engineering and Design, åk 1, Mandatory', 'Degree Programme in Engineering and Economics, åk 1, TIBY, Mandatory']","['31/10/2022', '17/03/2023']",25%,Normal Daytime,Swedish,KTH Campus,Places are not limited,AF1764,Autumn 2022,,,,5.0,2.5,,Autumn
{'Robert Algervik': 'https://www.kth.se/profile/algervik/'},{'Robert Algervik': 'https://www.kth.se/profile/algervik/'},{'Robert Algervik': 'https://www.kth.se/profile/algervik/'},2022/2023,"['Degree Programme in Constructional Engineering and Design, åk 1, Mandatory', 'Degree Programme in Engineering and Economics, åk 2, TIBY, Mandatory']","['20/03/2023', '05/06/2023']",25%,Normal Daytime,Swedish,KTH Campus,Places are not limited,AF1765,Spring 2023,,,,,,5.0,Spring
{'Ahmad Reza Roozbeh': 'https://www.kth.se/profile/aroozbeh/'},{'Ahmad Reza Roozbeh': 'https://www.kth.se/profile/aroozbeh/'},{'Ahmad Reza Roozbeh': 'https://www.kth.se/profile/aroozbeh/'},2022/2023,"['Degree Programme in Constructional Engineering and Design, åk 3, ARFU, Conditionally Elective', 'Degree Programme in Constructional Engineering and Design, åk 3, KONS, Conditionally Elective', 'Degree Programme in Constructional Engineering and Design, åk 3, PROD, Conditionally Elective']","['17/01/2023', '17/03/2023']",50%,Normal Daytime,Swedish,KTH Campus,15 - 60,AF1766,Spring 2023,,,,,7.5,,Spring
"{'Gunilla Teofilusson': 'https://www.kth.se/profile/gteo/', 'Ahmad Reza Roozbeh': 'https://www.kth.se/profile/aroozbeh/', 'Annika Gram': 'https://www.kth.se/profile/agram/', 'Åsa Laurell Lyne': 'https://www.kth.se/profile/alll/', 'Cecilia Hörngren': 'https://www.kth.se/profile/cechor/', 'Johan Silfwerbrand': 'https://www.kth.se/profile/jsilfwer/', 'Magnus Helgesson': 'https://www.kth.se/profile/helg/', 'John Leander': 'https://www.kth.se/profile/johnlea/', 'Zeev Bohbot': 'https://www.kth.se/profile/bohbot/'}",{'Åsa Laurell Lyne': 'https://www.kth.se/profile/alll/'},{'Victor Peterson': 'https://www.kth.se/profile/vpeter/'},2021/2022,"['Degree Programme in Constructional Engineering and Design, åk 3, ABYI, Mandatory', 'Degree Programme in Constructional Engineering and Design, åk 3, ANL, Mandatory', 'Degree Programme in Constructional Engineering and Design, åk 3, FUIS, Mandatory', 'Degree Programme in Constructional Engineering and Design, åk 3, HUPK, Mandatory', 'Degree Programme in Constructional Engineering and Design, åk 3, PBEO, Mandatory']","['21/03/2022', '07/06/2022']",75%,Normal Daytime,Swedish,KTH Campus,Places are not limited,AF179X,Spring 2022,,,,,,15.0,Spring
"{'Gunilla Teofilusson': 'https://www.kth.se/profile/gteo/', 'Ahmad Reza Roozbeh': 'https://www.kth.se/profile/aroozbeh/', 'Annika Gram': 'https://www.kth.se/profile/agram/', 'Åsa Laurell Lyne': 'https://www.kth.se/profile/alll/', 'Cecilia Hörngren': 'https://www.kth.se/profile/cechor/', 'Johan Silfwerbrand': 'https://www.kth.se/profile/jsilfwer/', 'Magnus Helgesson': 'https://www.kth.se/profile/helg/', 'John Leander': 'https://www.kth.se/profile/johnlea/', 'Zeev Bohbot': 'https://www.kth.se/profile/bohbot/'}",{'Åsa Laurell Lyne': 'https://www.kth.se/profile/alll/'},{'Eva Knutsson': 'https://www.kth.se/profile/evakn/'},2022/2023,"Degree Programme in Engineering and Economics, åk 3, TIBY, Mandatory","['31/10/2022', '16/01/2023']",75%,Normal Daytime,Swedish,KTH Campus,Places are not limited,AF179X,Autumn 2022,,,,15.0,,,Autumn
"{'Gunilla Teofilusson': 'https://www.kth.se/profile/gteo/', 'Ahmad Reza Roozbeh': 'https://www.kth.se/profile/aroozbeh/', 'Annika Gram': 'https://www.kth.se/profile/agram/', 'Åsa Laurell Lyne': 'https://www.kth.se/profile/alll/', 'Cecilia Hörngren': 'https://www.kth.se/profile/cechor/', 'Johan Silfwerbrand': 'https://www.kth.se/profile/jsilfwer/', 'Magnus Helgesson': 'https://www.kth.se/profile/helg/', 'John Leander': 'https://www.kth.se/profile/johnlea/', 'Zeev Bohbot': 'https://www.kth.se/profile/bohbot/'}",{'Åsa Laurell Lyne': 'https://www.kth.se/profile/alll/'},"{'Gunilla Teofilusson': 'https://www.kth.se/profile/gteo/', 'Eva Knutsson': 'https://www.kth.se/profile/evakn/', 'Cecilia Hörngren': 'https://www.kth.se/profile/cechor/', 'Magnus Helgesson': 'https://www.kth.se/profile/helg/', 'Zeev Bohbot': 'https://www.kth.se/profile/bohbot/', 'Annika Gram': 'https://www.kth.se/profile/agram/', 'Ahmad Reza Roozbeh': 'https://www.kth.se/profile/aroozbeh/'}",2022/2023,"['Degree Programme in Constructional Engineering and Design, åk 3, ARFU, Mandatory', 'Degree Programme in Constructional Engineering and Design, åk 3, KONS, Mandatory', 'Degree Programme in Constructional Engineering and Design, åk 3, PROD, Mandatory']","['20/03/2023', '05/06/2023']",75%,Normal Daytime,Swedish,KTH Campus,Places are not limited,AF179X,Spring 2023,,,,,,15.0,Spring
,,,,,,,,,,,AF2003,Autumn 2022,,Choose semester and course offering to see information from the correct course syllabus and course offering.,,,,,
{'Raied Karoumi': 'https://www.kth.se/profile/raidk/'},{'Raied Karoumi': 'https://www.kth.se/profile/raidk/'},{'Raied Karoumi': 'https://www.kth.se/profile/raidk/'},2022/2023,"Master's Programme, Civil and Architectural Engineering, åk 2, Conditionally Elective","['29/08/2022', '28/10/2022']",50%,Normal Daytime,English,KTH Campus,Min: 10,AF2011,Autumn 2022,,,7.5,,,,Autumn
{'Johan Silfwerbrand': 'https://www.kth.se/profile/jsilfwer/'},{'Fredrik Johansson': 'https://www.kth.se/profile/frejoha/'},"{'Till Grüne-Yanoff': 'https://www.kth.se/profile/gryne/', 'John Cantwell': 'https://www.kth.se/profile/cantwell/', 'Johan Spross': 'https://www.kth.se/profile/spross/', 'Johan Berg': 'https://www.kth.se/profile/jgberg/', 'Henrik Lundvall': 'https://www.kth.se/profile/henrik12/', 'Edvin Roo': 'https://www.kth.se/profile/edvina/', 'Martin Rissler': 'https://www.kth.se/profile/mrissler/', 'Adam Lundström Ramirez': 'https://www.kth.se/profile/adamlr/', 'Fredrik Johansson': 'https://www.kth.se/profile/frejoha/', 'Johan Silfwerbrand': 'https://www.kth.se/profile/jsilfwer/', 'Tor Sandqvist': 'https://www.kth.se/profile/tosa/'}",2022/2023,"Master's Programme, Civil and Architectural Engineering, åk 2, Mandatory","['31/10/2022', '16/01/2023']",50%,Normal Daytime,English,KTH Campus,Places are not limited,AF2023,Autumn 2022,,,,7.5,,,Autumn
{'Raied Karoumi': 'https://www.kth.se/profile/raidk/'},{'Andréas Andersson': 'https://www.kth.se/profile/adde/'},"{'Costin Pacoste': 'https://www.kth.se/profile/costin/', 'Romain Gabriel Roger Balieu': 'https://www.kth.se/profile/balieu/', 'Sadek Baker': 'https://www.kth.se/profile/sadebake/', 'Raied Karoumi': 'https://www.kth.se/profile/raidk/'}",2021/2022,"Master's Programme, Civil and Architectural Engineering, åk 1, Conditionally Elective","['21/03/2022', '07/06/2022']",50%,Normal Daytime,English,KTH Campus,Min: 10,AF2024,Spring 2022,,,,,,7.5,Spring
{'Raied Karoumi': 'https://www.kth.se/profile/raidk/'},{'Andréas Andersson': 'https://www.kth.se/profile/adde/'},"{'Costin Pacoste': 'https://www.kth.se/profile/costin/', 'William Bjureland': 'https://www.kth.se/profile/wbj/', 'Sadek Baker': 'https://www.kth.se/profile/sadebake/', 'Raied Karoumi': 'https://www.kth.se/profile/raidk/', 'Romain Gabriel Roger Balieu': 'https://www.kth.se/profile/balieu/'}",2022/2023,"Master's Programme, Civil and Architectural Engineering, åk 1, Conditionally Elective","['20/03/2023', '05/06/2023']",50%,Normal Daytime,English,KTH Campus,Min: 10,AF2024,Spring 2023,,,,,,7.5,Spring
{'Folke Björk': 'https://www.kth.se/profile/folkeb/'},{'Kjartan Gudmundsson': 'https://www.kth.se/profile/kjartan/'},"{'Kjartan Gudmundsson': 'https://www.kth.se/profile/kjartan/', 'Folke Björk': 'https://www.kth.se/profile/folkeb/'}",2022/2023,"Master's Programme, Civil and Architectural Engineering, åk 2, Conditionally Elective","['31/10/2022', '16/01/2023']",50%,Normal Daytime,English,KTH Campus,Min: 10,AF2025,Autumn 2022,,,,7.5,,,Autumn
,,,,,,,,,,,AF2101,Autumn 2022,,Choose semester and course offering to see information from the correct course syllabus and course offering.,,,,,
{'Johan Silfwerbrand': 'https://www.kth.se/profile/jsilfwer/'},{'Anders Ansell': 'https://www.kth.se/profile/ansell/'},"{'Mikael Hallgren': 'https://www.kth.se/profile/mhallg/', 'Richard Malm': 'https://www.kth.se/profile/mmd/', 'Malin Löfsjögård': 'https://www.kth.se/profile/malinlo/', 'Erik Nordström': 'https://www.kth.se/profile/enords/', 'Anders Ansell': 'https://www.kth.se/profile/ansell/'}",2021/2022,"Master's Programme, Civil and Architectural Engineering, åk 1, Conditionally Elective","['21/03/2022', '07/06/2022']",50%,Normal Daytime,English,KTH Campus,Min: 10,AF2102,Spring 2022,,,,,,7.5,Spring
{'Johan Silfwerbrand': 'https://www.kth.se/profile/jsilfwer/'},{'Anders Ansell': 'https://www.kth.se/profile/ansell/'},"{'Mikael Hallgren': 'https://www.kth.se/profile/mhallg/', 'Erik Nordström': 'https://www.kth.se/profile/enords/', 'Anders Ansell': 'https://www.kth.se/profile/ansell/'}",2022/2023,"Master's Programme, Civil and Architectural Engineering, åk 1, Conditionally Elective","['20/03/2023', '05/06/2023']",50%,Normal Daytime,English,KTH Campus,Min: 10,AF2102,Spring 2023,,,,,,7.5,Spring
{'Bert Norlin': 'https://www.kth.se/profile/bernor/'},{'Bert Norlin': 'https://www.kth.se/profile/bernor/'},{'Bert Norlin': 'https://www.kth.se/profile/bernor/'},2022/2023,,"['29/08/2022', '17/03/2023']",33%,Normal Evenings,Swedish,KTH Campus,Min: 10,AF2130,Autumn 2022,,,3.5,4.0,7.5,,Autumn
{'Bert Norlin': 'https://www.kth.se/profile/bernor/'},{'Bert Norlin': 'https://www.kth.se/profile/bernor/'},{'Bert Norlin': 'https://www.kth.se/profile/bernor/'},2022/2023,,"['29/08/2022', '17/03/2023']",33%,Normal Evenings,Swedish,KTH Campus,10 - 20,AF213V,Autumn 2022,,,3.5,4.0,7.5,,Autumn
"{'Erik Nordström': 'https://www.kth.se/profile/enords/', 'Andreas Sven Sjölander': 'https://www.kth.se/profile/asjola/', 'Johan Silfwerbrand': 'https://www.kth.se/profile/jsilfwer/', 'Mikael Hallgren': 'https://www.kth.se/profile/mhallg/', 'Anders Ansell': 'https://www.kth.se/profile/ansell/', 'Malin Löfsjögård': 'https://www.kth.se/profile/malinlo/'}",{'Anders Ansell': 'https://www.kth.se/profile/ansell/'},,2021/2022,"Master's Programme, Civil and Architectural Engineering, åk 2, Conditionally Elective","['18/01/2022', '07/06/2022']",100%,Normal Daytime,English,KTH Campus,Places are not limited,AF213X,Spring 2022,,,,,15.0,15.0,Spring
"{'Erik Nordström': 'https://www.kth.se/profile/enords/', 'Andreas Sven Sjölander': 'https://www.kth.se/profile/asjola/', 'Johan Silfwerbrand': 'https://www.kth.se/profile/jsilfwer/', 'Mikael Hallgren': 'https://www.kth.se/profile/mhallg/', 'Anders Ansell': 'https://www.kth.se/profile/ansell/', 'Malin Löfsjögård': 'https://www.kth.se/profile/malinlo/'}",{'Anders Ansell': 'https://www.kth.se/profile/ansell/'},,2022/2023,,"['29/08/2022', '16/01/2023']",100%,Normal Daytime,English,KTH Campus,Places are not limited,AF213X,Autumn 2022,,,15.0,15.0,,,Autumn
"{'Erik Nordström': 'https://www.kth.se/profile/enords/', 'Andreas Sven Sjölander': 'https://www.kth.se/profile/asjola/', 'Johan Silfwerbrand': 'https://www.kth.se/profile/jsilfwer/', 'Mikael Hallgren': 'https://www.kth.se/profile/mhallg/', 'Anders Ansell': 'https://www.kth.se/profile/ansell/', 'Malin Löfsjögård': 'https://www.kth.se/profile/malinlo/'}",{'Anders Ansell': 'https://www.kth.se/profile/ansell/'},,2022/2023,"Master's Programme, Civil and Architectural Engineering, åk 2, Conditionally Elective","['17/01/2023', '05/06/2023']",100%,Normal Daytime,English,KTH Campus,Places are not limited,AF213X,Spring 2023,,,,,15.0,15.0,Spring
{'Raied Karoumi': 'https://www.kth.se/profile/raidk/'},{'John Leander': 'https://www.kth.se/profile/johnlea/'},"{'Johan Silfwerbrand': 'https://www.kth.se/profile/jsilfwer/', 'John Leander': 'https://www.kth.se/profile/johnlea/', 'Raied Karoumi': 'https://www.kth.se/profile/raidk/'}",2022/2023,"[""Master's Programme, Civil and Architectural Engineering, åk 1, Conditionally Elective"", ""Master's Programme, Railway Engineering, åk 1, Conditionally Elective""]","['17/01/2023', '17/03/2023']",50%,Normal Daytime,English,KTH Campus,Min: 10,AF2201,Spring 2023,,,,,7.5,,Spring
{'Raied Karoumi': 'https://www.kth.se/profile/raidk/'},{'Raied Karoumi': 'https://www.kth.se/profile/raidk/'},"{'Johan Silfwerbrand': 'https://www.kth.se/profile/jsilfwer/', 'Raied Karoumi': 'https://www.kth.se/profile/raidk/', 'John Leander': 'https://www.kth.se/profile/johnlea/', 'Bert Norlin': 'https://www.kth.se/profile/bernor/'}",2022/2023,"Master's Programme, Civil and Architectural Engineering, åk 2, Conditionally Elective","['31/10/2022', '16/01/2023']",50%,Normal Daytime,English,KTH Campus,Min: 10,AF2203,Autumn 2022,,,,7.5,,,Autumn
{'Bert Norlin': 'https://www.kth.se/profile/bernor/'},{'Bert Norlin': 'https://www.kth.se/profile/bernor/'},{'Bert Norlin': 'https://www.kth.se/profile/bernor/'},2022/2023,"Master's Programme, Civil and Architectural Engineering, åk 1, Conditionally Elective","['17/01/2023', '17/03/2023']",50%,Normal Daytime,English,KTH Campus,Min: 10,AF2213,Spring 2023,,,,,7.5,,Spring
"{'John Leander': 'https://www.kth.se/profile/johnlea/', 'Jean-Marc Battini': 'https://www.kth.se/profile/jeanmarc/', 'Raied Karoumi': 'https://www.kth.se/profile/raidk/', 'Johan Silfwerbrand': 'https://www.kth.se/profile/jsilfwer/', 'Bert Norlin': 'https://www.kth.se/profile/bernor/'}",{'Raied Karoumi': 'https://www.kth.se/profile/raidk/'},,2021/2022,"Master's Programme, Civil and Architectural Engineering, åk 2, Conditionally Elective","['18/01/2022', '07/06/2022']",100%,Normal Daytime,English,KTH Campus,Places are not limited,AF223X,Spring 2022,,,,,15.0,15.0,Spring
"{'John Leander': 'https://www.kth.se/profile/johnlea/', 'Jean-Marc Battini': 'https://www.kth.se/profile/jeanmarc/', 'Raied Karoumi': 'https://www.kth.se/profile/raidk/', 'Johan Silfwerbrand': 'https://www.kth.se/profile/jsilfwer/', 'Bert Norlin': 'https://www.kth.se/profile/bernor/'}",{'Raied Karoumi': 'https://www.kth.se/profile/raidk/'},,2022/2023,,"['29/08/2022', '16/01/2023']",100%,Normal Daytime,English,KTH Campus,Places are not limited,AF223X,Autumn 2022,,,15.0,15.0,,,Autumn
"{'John Leander': 'https://www.kth.se/profile/johnlea/', 'Jean-Marc Battini': 'https://www.kth.se/profile/jeanmarc/', 'Raied Karoumi': 'https://www.kth.se/profile/raidk/', 'Johan Silfwerbrand': 'https://www.kth.se/profile/jsilfwer/', 'Bert Norlin': 'https://www.kth.se/profile/bernor/'}",{'Raied Karoumi': 'https://www.kth.se/profile/raidk/'},,2022/2023,"Master's Programme, Civil and Architectural Engineering, åk 2, Conditionally Elective","['17/01/2023', '05/06/2023']",100%,Normal Daytime,English,KTH Campus,Places are not limited,AF223X,Spring 2023,,,,,15.0,15.0,Spring
,,,,,,,,,,,AF2301,Autumn 2022,,Choose semester and course offering to see information from the correct course syllabus and course offering.,,,,,
{'Magnus Wålinder': 'https://www.kth.se/profile/walinder/'},{'Roberto Crocetti': 'https://www.kth.se/profile/crocetti/'},"{'Roberto Crocetti': 'https://www.kth.se/profile/crocetti/', 'Magnus Wålinder': 'https://www.kth.se/profile/walinder/'}",2021/2022,"Master's Programme, Civil and Architectural Engineering, åk 1, Conditionally Elective","['21/03/2022', '07/06/2022']",50%,Normal Daytime,English,KTH Campus,Min: 10,AF2302,Spring 2022,,,,,,7.5,Spring
{'Magnus Wålinder': 'https://www.kth.se/profile/walinder/'},{'Roberto Crocetti': 'https://www.kth.se/profile/crocetti/'},"{'Roberto Crocetti': 'https://www.kth.se/profile/crocetti/', 'Magnus Wålinder': 'https://www.kth.se/profile/walinder/'}",2022/2023,"Master's Programme, Civil and Architectural Engineering, åk 1, Conditionally Elective","['20/03/2023', '05/06/2023']",50%,Normal Daytime,English,KTH Campus,Min: 10,AF2302,Spring 2023,,,,,,7.5,Spring
"{'Rickard Bellander': 'https://www.kth.se/profile/bellan/', 'Magnus Wålinder': 'https://www.kth.se/profile/walinder/'}",{'Magnus Wålinder': 'https://www.kth.se/profile/walinder/'},{'Roberto Crocetti': 'https://www.kth.se/profile/crocetti/'},2021/2022,"Master's Programme, Civil and Architectural Engineering, åk 2, Conditionally Elective","['18/01/2022', '07/06/2022']",100%,Normal Daytime,English,KTH Campus,Places are not limited,AF233X,Spring 2022,,,,,15.0,15.0,Spring
"{'Rickard Bellander': 'https://www.kth.se/profile/bellan/', 'Magnus Wålinder': 'https://www.kth.se/profile/walinder/'}",{'Magnus Wålinder': 'https://www.kth.se/profile/walinder/'},,2022/2023,,"['29/08/2022', '16/01/2023']",100%,Normal Daytime,English,KTH Campus,Places are not limited,AF233X,Autumn 2022,,,15.0,15.0,,,Autumn
"{'Rickard Bellander': 'https://www.kth.se/profile/bellan/', 'Magnus Wålinder': 'https://www.kth.se/profile/walinder/'}",{'Magnus Wålinder': 'https://www.kth.se/profile/walinder/'},,2022/2023,"Master's Programme, Civil and Architectural Engineering, åk 2, Conditionally Elective","['17/01/2023', '05/06/2023']",100%,Normal Daytime,English,KTH Campus,Places are not limited,AF233X,Spring 2023,,,,,15.0,15.0,Spring
{'Kjartan Gudmundsson': 'https://www.kth.se/profile/kjartan/'},{'Folke Björk': 'https://www.kth.se/profile/folkeb/'},"{'Folke Björk': 'https://www.kth.se/profile/folkeb/', 'Kjartan Gudmundsson': 'https://www.kth.se/profile/kjartan/'}",2022/2023,"Master's Programme, Civil and Architectural Engineering, åk 1, Conditionally Elective","['17/01/2023', '17/03/2023']",50%,Normal Daytime,English,KTH Campus,Min: 10,AF2401,Spring 2023,,,,,7.5,,Spring
{'Kjartan Gudmundsson': 'https://www.kth.se/profile/kjartan/'},{'Folke Björk': 'https://www.kth.se/profile/folkeb/'},"{'Kjartan Gudmundsson': 'https://www.kth.se/profile/kjartan/', 'Folke Björk': 'https://www.kth.se/profile/folkeb/'}",2022/2023,"Master's Programme, Civil and Architectural Engineering, åk 2, Conditionally Elective","['29/08/2022', '28/10/2022']",50%,Normal Daytime,English,KTH Campus,Min: 10,AF2403,Autumn 2022,,,7.5,,,,Autumn
{'Magnus Wålinder': 'https://www.kth.se/profile/walinder/'},{'Magnus Wålinder': 'https://www.kth.se/profile/walinder/'},"{'Andreas Novak': 'https://www.kth.se/profile/anovak/', 'Magnus Wålinder': 'https://www.kth.se/profile/walinder/'}",2022/2023,"Master's Programme, Civil and Architectural Engineering, åk 2, Conditionally Elective","['29/08/2022', '28/10/2022']",50%,Normal Daytime,English,KTH Campus,Min: 10,AF2404,Autumn 2022,,,7.5,,,,Autumn
